County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Palo Pinto,2/3,"2,200","2,257","1,611",646,"23,207","5,893",864,283,"8,796",,,
Panola,4/5N,"1,700","1,879","1,320",559,"18,462","4,589",473,377,"7,117",,,
Parker,2/3,"19,250","19,450","13,414","6,036","111,686","22,331","2,890","1,301","40,567",,,
Parmer,1,900,"2,050","1,394",656,"7,222","1,366",161,174,"2,910",,,
Pecos,9/10,"2,000","3,039","2,435",604,"12,317","2,141",400,120,"5,047",,,
Polk,4/5N,"4,300","6,614","4,909","1,705","42,276","9,733","1,184",574,"17,118",,,
Potter,1,"89,325","27,335","17,473","9,862","88,673","15,203","10,224","1,770","35,559",,,
Presidio,9/10,"1,500","1,787","1,566",221,"5,069","1,601",27,0,"2,039",,,
Rains,4/5N,500,"1,088",760,328,"10,277","3,123",163,68,"3,649",,,
Randall,1,"6,200","41,465","25,912","15,553","108,431","21,424","2,812",869,"34,803",,,
Reagan,9/10,300,486,370,116,"2,841",427,52,42,"1,173",,,
Real,8,200,777,579,198,"2,943","1,053",25,86,"1,051",,,
Red River,4/5N,900,"1,763","1,309",454,"9,965","3,044",420,252,"3,717",,,
Reeves,9/10,"7,725","4,516","3,130","1,386","12,781","1,878",281,89,"5,277",,,
Refugio,11,700,"1,364",942,422,"5,583","1,617",228,154,"2,031",,,
Roberts,1,0,144,96,48,672,193,16,0,227,,,
Robertson,7,"1,200","1,905","1,411",494,"13,474","3,412",252,252,"4,991",,,
Rockwall,2/3,"8,175","16,159","11,726","4,433","80,325","13,395","3,750","1,347","27,575",,,
Runnels,2/3,"1,800","1,819","1,191",628,"8,184","2,153",405,312,"2,979",,,
Rusk,4/5N,"2,000","4,704","3,430","1,274","43,777","9,197","1,501",759,"17,428",,,
Sabine,4/5N,"1,600","1,865","1,302",563,"8,871","3,267",572,186,"3,077",,,
San Augustine,4/5N,"1,200","1,255",878,377,"6,811","2,227",415,337,"2,590",,,
San Jacinto,4/5N,"1,800","2,610","1,847",763,"23,444","6,488",132,190,"9,275",,,
San Patricio,11,"4,200","8,556","6,217","2,339","51,116","10,209",975,347,"19,063",,,
San Saba,7,300,299,228,71,"5,000","1,465",33,72,"1,828",,,
Schleicher,9/10,400,528,410,118,"2,218",559,65,34,793,,,
Scurry,2/3,"3,925","2,296","1,585",711,"13,000","2,566",399,128,"5,165",,,
Shackelford,2/3,300,389,332,57,"2,612",691,52,0,937,,,
Shelby,4/5N,"1,700","1,758","1,119",639,"19,449","4,532",540,369,"7,876",,,
Sherman,1,500,596,451,145,"2,294",462,24,42,868,,,
Smith,4/5N,"74,400","39,683","26,266","13,417","182,283","39,337","19,690","3,030","62,467",,,
Somervell,2/3,600,"1,302","1,012",290,"7,386","1,770",457,220,"2,741",,,
Starr,11,"8,000","8,177","6,012","2,165","45,765","7,370","4,479","1,999","21,117",,,
Stephens,2/3,900,912,661,251,"7,542","1,890",168,92,"2,928",,,
Sterling,9/10,100,137,108,29,975,186,10,44,375,,,
Stonewall,2/3,500,319,245,74,"1,095",361,63,53,369,,,
Sutton,9/10,400,464,361,103,"2,992",723,91,0,"1,051",,,
Swisher,1,500,"1,308",948,360,"5,764","1,305",114,61,"2,381",,,
Tarrant,2/3,"440,250","283,075","184,919","98,156","1,617,160","244,511","86,106","18,386","590,239",,,
Taylor,2/3,"30,525","24,247","17,913","6,334","107,257","20,131","11,065","2,465","36,680",,,
Terrell,9/10,0,209,195,14,639,255,10,0,207,,,
Terry,1,"3,650","2,862","1,972",890,"9,307","1,858",345,178,"3,985",,,
Throckmorton,2/3,600,463,376,87,"1,247",445,64,0,399,,,
Titus,4/5N,"5,200","2,972","1,983",989,"24,323","4,845","1,811",633,"9,797",,,
Tom Green,9/10,"28,400","24,162","16,124","8,038","93,752","18,625","6,702","1,601","33,131",,,
Travis,7,"242,000","158,358","109,778","48,580","1,032,386","129,553","51,820","8,264","311,477",,,
Trinity,4/5N,"2,850","2,208","1,627",581,"12,104","3,956",347,241,"4,400",,,
Tyler,4/5N,"2,900","3,221","2,277",944,"17,963","4,895",476,238,"6,926",,,
Upshur,4/5N,"1,600","3,449","2,487",962,"33,011","7,825",714,567,"12,366",,,
Upton,9/10,500,866,699,167,"2,730",537,170,30,"1,105",,,
Uvalde,8,"9,325","5,855","4,090","1,765","20,379","4,508","1,498",515,"8,253",,,
Val Verde,8,"7,200","5,799","4,549","1,250","36,546","7,003","2,610",490,"14,417",,,
Van Zandt,4/5N,"3,000","5,811","3,997","1,814","45,216","11,495","1,280",711,"16,861",,,
Victoria,8,"17,850","14,760","10,585","4,175","71,388","15,242","5,624","1,030","27,119",,,
Walker,6/5S,"5,900","5,742","4,096","1,646","63,471","10,049","1,526",400,"24,628",,,
Waller,6/5S,"3,400","4,337","3,169","1,168","43,350","6,546","1,182",466,"16,819",,,
Ward,9/10,700,"1,740","1,362",378,"8,921","1,629",137,92,"3,551",,,
Washington,7,"19,000","6,379","5,128","1,251","29,086","7,889","2,581","1,018","10,662",,,
Webb,11,"52,100","44,103","31,305","12,798","196,916","26,921","12,073","1,646","88,397",,,
Wharton,6/5S,"3,800","4,168","2,824","1,344","32,110","7,239","1,438",615,"12,933",,,
Wheeler,1,"1,000","1,092",744,348,"3,915","1,002",200,114,"1,459",,,
Wichita,2/3,"31,350","25,817","17,119","8,698","105,631","19,854","8,664","2,030","42,031",,,
